"Are you sure you want to do this?","Are you sure you want to do this?"
Delete,Delete
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Cookie Settings","Cookie Settings"
"You deleted the cookie.","You deleted the cookie."
"We can't delete cookie right now. Please review the log and try again.","We can't delete cookie right now. Please review the log and try again."
"New Cookie","New Cookie"
"Edit Cookie %1","Edit Cookie %1"
Cookies,Cookies
"%1 cookie(s) has been successfully deleted","%1 cookie(s) has been successfully deleted"
"An error has occurred","An error has occurred"
"You saved the item.","You saved the item."
"An error has occurred.","An error has occurred."
"Cookie Consents Log","Cookie Consents Log"
"You deleted the cookie group.","You deleted the cookie group."
"We can't delete cookie group right now. Please review the log and try again.","We can't delete cookie group right now. Please review the log and try again."
"New Cookie Group","New Cookie Group"
"Edit Cookie Group %1","Edit Cookie Group %1"
"Cookie Groups","Cookie Groups"
"%1 cookie group(s) has been successfully deleted","%1 cookie group(s) has been successfully deleted"
"An error has occured","An error has occured"
"All Allowed","All Allowed"
"None cookies allowed","None cookies allowed"
"You saved your cookie settings!","You saved your cookie settings!"
Footer,Footer
Top,Top
Classic,Classic
"Side Bar","Side Bar"
"Pop Up","Pop Up"
"All Countries","All Countries"
"EEA Countries","EEA Countries"
"Specified Countries","Specified Countries"
None,None
"1st Party","1st Party"
"3rd Party","3rd Party"
No,No
Yes,Yes
"Unable to save cookie consent with ID %1. Error: %2","Unable to save cookie consent with ID %1. Error: %2"
"Unable to save new withConsent. Error: %1","Unable to save new withConsent. Error: %1"
"Cookie Consent with specified ID ""%1"" not found.","Cookie Consent with specified ID ""%1"" not found."
"Unable to remove Cookie Consent with ID %1. Error: %2","Unable to remove Cookie Consent with ID %1. Error: %2"
"Unable to remove Cookie Consent. Error: %1","Unable to remove Cookie Consent. Error: %1"
"Unable to save cookie group with ID %1. Error: %2","Unable to save cookie group with ID %1. Error: %2"
"Unable to save new cookie group. Error: %1","Unable to save new cookie group. Error: %1"
"Cookie group with specified ID ""%1"" not found.","Cookie group with specified ID ""%1"" not found."
"Unable to remove cookie group with ID %1. Error: %2","Unable to remove cookie group with ID %1. Error: %2"
"Unable to remove cookie group. Error: %1","Unable to remove cookie group. Error: %1"
"Unable to save cookie with ID %1. Error: %2","Unable to save cookie with ID %1. Error: %2"
"Unable to save new cookie. Error: %1","Unable to save new cookie. Error: %1"
"Cookie with specified ID ""%1"" not found.","Cookie with specified ID ""%1"" not found."
"Cookie with specified Name ""%1"" not found.","Cookie with specified Name ""%1"" not found."
"Unable to remove cookie with ID %1. Error: %2","Unable to remove cookie with ID %1. Error: %2"
"Unable to remove cookie. Error: %1","Unable to remove cookie. Error: %1"
"[STORE VIEW]","[STORE VIEW]"
"Amasty GDPR cookie error: cookies ""%1"" are in different groups ""%2"".","Amasty GDPR cookie error: cookies ""%1"" are in different groups ""%2""."
"More Information","More Information"
"Cookie Name","Cookie Name"
"Cookie Provider","Cookie Provider"
"Cookie Description","Cookie Description"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Type","Cookie Type"
Done,Done
"Please select and accept your Cookies Group","Please select and accept your Cookies Group"
"Cookie Consent","Cookie Consent"
"General Settings","General Settings"
"Enable Cookie Policy Bar","Enable Cookie Policy Bar"
"Hide the Cookie Bar if No Decision Was Taken","Hide the Cookie Bar if No Decision Was Taken"
"The cookie bar will not be displayed to customers on new pages if they don't accept or decline cookies on the bar. Thus the customer will less be distracted from purchasing.","The cookie bar will not be displayed to customers on new pages if they don't accept or decline cookies on the bar. Thus the customer will less be distracted from purchasing."
"Countries Restrictment","Countries Restrictment"
"It is possible to adjust the visibility of Cookie Policy Bar on frontend according to customer location. Enable the Cookie Policy Bar for All Countries, EEA Countries or specific Countries selected in the list below..","It is possible to adjust the visibility of Cookie Policy Bar on frontend according to customer location. Enable the Cookie Policy Bar for All Countries, EEA Countries or specific Countries selected in the list below.."
"Display for Specific Countries","Display for Specific Countries"
"Cookie Log Auto-Cleaning Period (Days)","Cookie Log Auto-Cleaning Period (Days)"
"All records that been stored for the longer period will be automatically removed from the Cookie Consent Log and your database.","All records that been stored for the longer period will be automatically removed from the Cookie Consent Log and your database."
"Cookie Bar Customization","Cookie Bar Customization"
"Cookie Bar Style","Cookie Bar Style"
"Classic Bar","Classic Bar"
"Cookie Bar Location","Cookie Bar Location"
"Notification Text","Notification Text"
"You can use any HTML-tags in this field. Please, mind the security.","You can use any HTML-tags in this field. Please, mind the security."
"Background Color","Background Color"
"Policy Text Color","Policy Text Color"
"Links Color","Links Color"
"Accept Button","Accept Button"
"Button Name","Button Name"
"Button Color","Button Color"
"Button Color on Hover","Button Color on Hover"
"Text Color","Text Color"
"Text Color on Hover","Text Color on Hover"
"Decline Button","Decline Button"
Enable,Enable
"Custom Settings Button","Custom Settings Button"
"Cookie Group Title Text Color","Cookie Group Title Text Color"
"Cookie Group Description Text Color","Cookie Group Description Text Color"
"Allow All Button","Allow All Button"
"Customer Id","Customer Id"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Ip Address","Ip Address"
Website,Website
Date,Date
"Consent Status","Consent Status"
Back,Back
Settings,Settings
Enabled,Enabled
Description,Description
"Cookie Group","Cookie Group"
"Is Essential","Is Essential"
"Cookie Group Name","Cookie Group Name"
"Assigned Cookies","Assigned Cookies"
"Sort Order","Sort Order"
"Sort Order of cookie groups in the cookie bar.","Sort Order of cookie groups in the cookie bar."
"Add New Group","Add New Group"
"Delete Cookie Groups","Delete Cookie Groups"
"Are you sure you want to delete selected cookie groups?","Are you sure you want to delete selected cookie groups?"
ID,ID
"Is Enabled","Is Enabled"
Edit,Edit
"Add New Cookie","Add New Cookie"
"Select Cookie Group..","Select Cookie Group.."
"Delete Cookies","Delete Cookies"
"Are you sure you want to delete selected cookies?","Are you sure you want to delete selected cookies?"
